📺中央数字超高清,#genre#
优优宝贝,http://ds920.dsmynas.net:5555/rtp/226.0.2.119:8864$山西uni2+
#shougong
CCTV1,http://117.88.22.70:4022/rtp/239.49.8.19:9614$江苏新cmc
CCTV2,http://117.88.22.70:4022/rtp/239.49.8.50:9802$江苏新cmc
CCTV3,http://117.88.22.70:4022/rtp/239.49.8.74:8000$江苏新cmc
CCTV4,http://117.88.22.70:4022/rtp/239.49.8.51:9806$江苏新cmc
CCTV5+,http://117.88.22.70:4022/rtp/239.49.8.18:9610$江苏新cmc
CCTV5,http://117.88.22.70:4022/rtp/239.49.8.75:8000$江苏新cmc
CCTV6,http://117.88.22.70:4022/rtp/239.49.8.76:8000$江苏新cmc
CCTV7,http://117.88.22.70:4022/rtp/239.49.0.126:8000$江苏新cmc
CCTV8,http://117.88.22.70:4022/rtp/239.49.8.77:8000$江苏新cmc
CCTV9,http://117.88.22.70:4022/rtp/239.49.8.53:9814$江苏新cmc
CCTV10,http://117.88.22.70:4022/rtp/239.49.8.54:9818$江苏新cmc
CCTV11,http://117.88.22.70:4022/rtp/239.49.0.127:8000$江苏新cmc
CCTV12,http://117.88.22.70:4022/rtp/239.49.8.55:9822$江苏新cmc
CCTV13,http://117.88.22.70:4022/rtp/239.49.8.109:8000$江苏新cmc
CCTV14,http://117.88.22.70:4022/rtp/239.49.8.56:9826$江苏新cmc
CCTV15,http://117.88.22.70:4022/rtp/239.49.0.128:8000$江苏新cmc
CCTV16,http://117.88.22.70:4022/rtp/239.49.8.31:8000$江苏新cmc
CCTV17,http://117.88.22.70:4022/rtp/239.49.8.52:9810$江苏新cmc
CETV1,http://117.88.22.70:4022/rtp/239.49.8.115:8000$江苏新cmc
CETV4,http://117.88.22.70:4022/rtp/239.49.0.125:8000$江苏新cmc
世界地理,http://117.88.22.70:4022/rtp/239.49.8.87:8000$江苏新cmc
兵器科技,http://117.88.22.70:4022/rtp/239.49.8.88:8000$江苏新cmc
央视台球,http://117.88.22.70:4022/rtp/239.49.8.32:8000$江苏新cmc
女性时尚,http://117.88.22.70:4022/rtp/239.49.8.93:8000$江苏新cmc
怀旧剧场,http://117.88.22.70:4022/rtp/239.49.8.91:8000$江苏新cmc
文化精品,http://117.88.22.70:4022/rtp/239.49.8.90:8000$江苏新cmc
电视指南,http://117.88.22.70:4022/rtp/239.49.8.84:8000$江苏新cmc
第一剧场,http://117.88.22.70:4022/rtp/239.49.8.94:8000$江苏新cmc
风云剧场,http://117.88.22.70:4022/rtp/239.49.8.89:8000$江苏新cmc
风云足球,http://117.88.22.70:4022/rtp/239.49.8.85:8000$江苏新cmc
风云音乐,http://117.88.22.70:4022/rtp/239.49.8.92:8000$江苏新cmc
高尔夫网球,http://117.88.22.70:4022/rtp/239.49.8.86:8000$江苏新cmc
安徽卫视,http://dx.pcc.icu:8123/rtp/239.21.1.159:5002$山东cmc6+
安徽卫视,http://117.88.22.70:4022/rtp/239.49.8.80:8000$江苏新cmc
北京卫视,http://dx.pcc.icu:8123/rtp/239.21.1.88:5002$山东cmc6+
北京卫视,http://117.88.22.70:4022/rtp/239.49.8.11:9414$江苏新cmc
重庆卫视,http://dx.pcc.icu:8123/rtp/239.21.1.233:5002$山东cmc6+
重庆卫视,http://117.88.22.70:4022/rtp/239.49.8.57:9830$江苏新cmc
东南卫视,http://dx.pcc.icu:8123/rtp/239.21.1.113:5002$山东cmc6+
东南卫视,http://117.88.22.70:4022/rtp/239.49.8.112:8000$江苏新cmc
东方卫视,http://dx.pcc.icu:8123/rtp/239.21.1.111:5002$山东cmc6+
东方卫视,http://117.88.22.70:4022/rtp/239.49.8.17:9606$江苏新cmc
广东卫视,http://dx.pcc.icu:8123/rtp/239.21.1.92:5002$山东cmc6+
广东卫视,http://117.88.22.70:4022/rtp/239.49.8.13:9422$江苏新cmc
广西卫视,http://117.88.22.70:4022/rtp/239.49.8.10:8000$江苏新cmc
甘肃卫视,http://dx.pcc.icu:8123/rtp/239.21.2.22:5002$山东cmc6+
贵州卫视,http://dx.pcc.icu:8123/rtp/239.21.1.166:5002$山东cmc6+
贵州卫视,http://117.88.22.70:4022/rtp/239.49.8.49:8000$江苏新cmc
河北卫视,http://dx.pcc.icu:8123/rtp/239.21.1.168:5002$山东cmc6+
河北卫视,http://117.88.22.70:4022/rtp/239.49.8.114:8000$江苏新cmc
河南卫视,http://dx.pcc.icu:8123/rtp/239.21.2.37:5002$山东cmc6+
河南卫视,http://117.88.22.70:4022/rtp/239.49.8.29:8000$江苏新cmc
海南卫视,http://117.88.22.70:4022/rtp/239.49.8.83:8000$江苏新cmc
湖北卫视,http://dx.pcc.icu:8123/rtp/239.21.1.163:5002$山东cmc6+
湖北卫视,http://117.88.22.70:4022/rtp/239.49.8.8:9632$江苏新cmc
湖南卫视,http://dx.pcc.icu:8123/rtp/239.21.1.158:5002$山东cmc6+
湖南卫视,http://dx.pcc.icu:8123/rtp/239.21.1.18:5002$山东cmc6+
湖南卫视,http://117.88.22.70:4022/rtp/239.49.8.12:9418$江苏新cmc
黑龙江卫视,http://dx.pcc.icu:8123/rtp/239.21.1.91:5002$山东cmc6+
黑龙江卫视,http://117.88.22.70:4022/rtp/239.49.8.14:9426$江苏新cmc
吉林卫视,http://117.88.22.70:4022/rtp/239.49.8.113:8000$江苏新cmc
江苏卫视,http://dx.pcc.icu:8123/rtp/239.21.1.89:5002$山东cmc6+
江苏卫视,http://117.88.22.70:4022/rtp/239.49.8.16:9602$江苏新cmc
江西卫视,http://dx.pcc.icu:8123/rtp/239.21.1.167:5002$山东cmc6+
江西卫视,http://117.88.22.70:4022/rtp/239.49.8.111:8000$江苏新cmc
辽宁卫视,http://dx.pcc.icu:8123/rtp/239.21.1.164:5002$山东cmc6+
辽宁卫视,http://117.88.22.70:4022/rtp/239.49.8.48:8000$江苏新cmc
青海卫视,http://dx.pcc.icu:8123/rtp/239.21.1.43:5002$山东cmc6+
三沙卫视,http://117.88.22.70:4022/rtp/239.49.0.167:8000$江苏新cmc
四川卫视,http://dx.pcc.icu:8123/rtp/239.21.2.15:5002$山东cmc6+
四川卫视,http://117.88.22.70:4022/rtp/239.49.8.110:8000$江苏新cmc
天津卫视,http://dx.pcc.icu:8123/rtp/239.21.1.165:5002$山东cmc6+
山东卫视,http://dx.pcc.icu:8123/rtp/239.21.1.87:5002$山东cmc6+
山东卫视,http://117.88.22.70:4022/rtp/239.49.8.7:9306$江苏新cmc
深圳卫视,http://dx.pcc.icu:8123/rtp/239.21.1.93:5002$山东cmc6+
深圳卫视,http://117.88.22.70:4022/rtp/239.49.8.15:9430$江苏新cmc
天津卫视,http://117.88.22.70:4022/rtp/239.49.8.35:8620$江苏新cmc
云南卫视,http://117.88.22.70:4022/rtp/239.49.0.177:8000$江苏新cmc
浙江卫视,http://dx.pcc.icu:8123/rtp/239.21.1.90:5002$山东cmc6+
浙江卫视,http://117.88.22.70:4022/rtp/239.49.8.20:9618$江苏新cmc
纪实科教,http://dx.pcc.icu:8123/rtp/239.21.1.172:5002$山东cmc6+
金鹰纪实,http://dx.pcc.icu:8123/rtp/239.21.1.170:5002$山东cmc6+
金鹰纪实,http://117.88.22.70:4022/rtp/239.49.8.79:8000$江苏新cmc
卡酷少儿,http://tnvcn.com:8012/rtp/239.3.1.189:8000$北京uni1+
金鹰卡通,http://117.88.22.70:4022/rtp/239.49.8.33:8000$江苏新cmc
兵团卫视,http://dx.pcc.icu:8123/rtp/239.21.1.234:5002$山东cmc6+
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
内蒙古卫视,http://dx.pcc.icu:8123/rtp/239.21.1.41:5002$山东cmc6+
农林卫视,http://dx.pcc.icu:8123/rtp/239.21.1.235:5002$山东cmc6+
宁夏卫视,http://dx.pcc.icu:8123/rtp/239.21.1.44:5002$山东cmc6+
宁夏卫视,https://livepgc.cmc.ningxiahuangheyun.com/tv/nxws.m3u8
宁夏安多卫视,http://stream.qhbtv.com/adws/playlist.m3u8
宁夏安多卫视,http://stream.qhbtv.com/adws/playlist.m3u8?_upt=739abf201649062902
宁夏安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
山东教育卫视,http://117.88.22.70:4022/rtp/239.49.0.235:8000$江苏新cmc
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?zjild
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8?zjild
新疆卫视,http://dx.pcc.icu:8123/rtp/239.21.1.45:5002$山东cmc6+
西藏卫视,http://dx.pcc.icu:8123/rtp/239.21.1.46:5002$山东cmc6+
🎬电影轮播标清频道,#genre#
电影D_08,http://cfss.cc/cdn/hy/11342412.flv
电影D_09,http://cfss.cc/cdn/hy/11336587.flv
电影D_10,http://cfss.cc/cdn/hy/11342390.flv#http://43.138.170.29:35455/huya/11342390
电影D_11,http://cfss.cc/cdn/hy/11342386.flv#http://43.138.170.29:35455/huya/11342386
电影D_12,http://cfss.cc/cdn/hy/11279251.flv#http://43.138.170.29:35455/huya/11279251
电影D_13,http://cfss.cc/cdn/hy/11342429.flv
电影D_14,http://cfss.cc/cdn/hy/11342421.flv#http://43.138.170.29:35455/huya/11342421
电影D_15,http://cfss.cc/cdn/hy/11342424.flv#http://43.138.170.29:35455/huya/11342424
电影D_16,http://cfss.cc/cdn/hy/11602058.flv#http://43.138.170.29:35455/huya/11602058
电影D_17,http://cfss.cc/cdn/hy/11601972.flv
电影D_18,http://cfss.cc/cdn/hy/11602034.flv
电影D_19,http://cfss.cc/cdn/hy/11342428.flv
电影D_20,http://cfss.cc/cdn/hy/21059577.flv
电影D_21,http://cfss.cc/cdn/hy/11342427.flv
电影D_22,http://cfss.cc/cdn/hy/11352886.flv
电影D_23,http://cfss.cc/cdn/hy/11352962.flv
电影D_24,http://cfss.cc/cdn/hy/21059579.flv
电影D_25,http://cfss.cc/cdn/hy/11279247.flv
电影D_26,http://cfss.cc/cdn/hy/11342414.flv
电影D_27,http://cfss.cc/cdn/hy/21059585.flv
电影D_28,http://cfss.cc/cdn/hy/11601986.flv
电影D_29,http://cfss.cc/cdn/hy/11336719.flv
电影D_30,http://cfss.cc/cdn/hy/11602043.flv
电影E_31,http://cfss.cc/cdn/hy/11352876.flv
电影E_32,http://cfss.cc/cdn/hy/21059595.flv
电影E_33,http://cfss.cc/cdn/hy/11602041.flv
电影E_34,http://cfss.cc/cdn/hy/21059594.flv
电影E_35,http://cfss.cc/cdn/hy/21059552.flv
电影E_36,http://cfss.cc/cdn/hy/11601971.flv
电影E_37,http://cfss.cc/cdn/hy/21059592.flv
电影E_38,http://cfss.cc/cdn/hy/11352973.flv
电影_39,http://cfss.cc/cdn/hy/11342387.flv#http://43.138.170.29:35455/huya/11342387
电影_40,http://cfss.cc/cdn/hy/21059581.flv
电影_41,http://cfss.cc/cdn/hy/11601968.flv
电影_42,http://cfss.cc/cdn/hy/11601968.flv#http://43.138.170.29:35455/huya/11601968
电影_43,http://cfss.cc/cdn/hy/21059581.flv#http://43.138.170.29:35455/huya/21059581
电影_44,https://live.metshop.top/yy/1354924839
电影_45,http://cfss.cc/cdn/hy/11352877.flv
电影_46,http://cfss.cc/cdn/hy/21059588.flv
电影_47,http://cfss.cc/cdn/hy/11352963.flv
电影_48,http://cfss.cc/cdn/hy/21059599.flv
电影_49,http://cfss.cc/cdn/hy/11352941.flv
电影_50,http://cfss.cc/cdn/hy/11602075.flv
电影_51,http://cfss.cc/cdn/hy/21059574.flv
电影_52,http://cfss.cc/cdn/hy/11352974.flv
电影_53,http://cfss.cc/cdn/hy/11352884.flv
电影_54,http://cfss.cc/cdn/hy/11602077.flv
电影H_55,http://cfss.cc/cdn/hy/11342423.flv
电影H_56,http://cfss.cc/cdn/hy/11352894.flv
电影H_57,http://cfss.cc/cdn/hy/11352897.flv
电影H_58,http://cfss.cc/cdn/hy/11342395.flv
电影H_59,http://cfss.cc/cdn/hy/11342435.flv
电影H_60,http://cfss.cc/cdn/hy/11342419.flv
电影H_61,http://cfss.cc/cdn/hy/11352913.flv
电影H_62,http://cfss.cc/cdn/hy/11601977.flv
电影H_63,http://cfss.cc/cdn/hy/11336571.flv
电影H_64,http://cfss.cc/cdn/hy/11352909.flv
电影H_65,http://cfss.cc/cdn/hy/11602033.flv
电影H_66,http://cfss.cc/cdn/hy/11352965.flv
电影H_67,http://cfss.cc/cdn/hy/11352969.flv
电影H_68,http://cfss.cc/cdn/hy/11352887.flv
电影H_69,http://cfss.cc/cdn/hy/21059580.flv
电影H_70,http://cfss.cc/cdn/hy/11601981.flv
电影H_71,http://cfss.cc/cdn/hy/11601960.flv
电影H_72,http://cfss.cc/cdn/hy/11352903.flv
电影H_73,http://cfss.cc/cdn/hy/21059596.flv
电影H_74,http://cfss.cc/cdn/hy/21059554.flv
电影_75,http://tc-tct.douyucdn2.cn/dyliveflv1/122402r79bq_2000.flv?wsuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
电影_76,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
电影_77,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
电影_78,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402r79bq_900.m3u8
电影_79,http://159.75.85.63:35455/douyu/252802#http://maomao.kandiantv.cn/douyu1.php?id=252802
电影_80,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
电影_80,http://43.138.170.29:35455/yy/1354932355
电影_81,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402r79bq_900.m3u8
🎬老电影黑白频道,#genre#
老电影-01,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/fa6557276d644b5ea399956a6bf94e59/850.m3u8
老电影-02,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/866474add7224067877bed430d9380ab/850.m3u8
老电影-03,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c86d45b176d642738dabf9da7361653b/850.m3u8
老电影-04,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/312e39c68cc441feb79d1c2d7e16cbbd/850.m3u8
老电影-05,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/a90c788a458e40508615d711b8aae1af/850.m3u8
老电影-06,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/188d5706e5774f06850e06e4f181c4bd/850.m3u8
老电影-07,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b657281ba44a4b279f55ec860c12543b/850.m3u8
老电影-08,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/d708e9c64aa34519af5490a793756c38/850.m3u8
老电影-09,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/059096230b4e46c0b5d4929ff98435d0/850.m3u8
老电影-10,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/bf55b84744d64eeaaedc5ea603855597/850.m3u8
老电影-11,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/921b8081b58b4c2f81fb233b6c8e89ac/850.m3u8
老电影-12,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/f2ee6e22cd894be1bc8c90b19f47ae2e/850.m3u8
老电影-13,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/2ea3b03b3a414303b830f92579243001/850.m3u8
老电影-14,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/2a58afdece3342eaac927648a2cccabd/850.m3u8
老电影-15,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/53a44d8649024b58b69f4468b922b8f0/850.m3u8
老电影-16,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/41fcf9fefcf247c78e2d64c7af5d6edd/850.m3u8
老电影-17,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/a1093561ad0a4071b68eeae884de01e7/850.m3u8
老电影-18,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ec47d310d888464f8446af5e6e04ded8/850.m3u8
老电影-19,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/71c649af833c43a9b61e4f5c913bbd6b/850.m3u8
老电影-20,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/bac928d747984ed3bd17550879522f89/850.m3u8
老电影-21,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/5023f1dcc73b4090962ee31e017fb8e3/850.m3u8
老电影-22,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/680e102dc8614632862cf49a236def6e/850.m3u8
老电影-23,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/706b979b8a934aaab677a11c410bb119/850.m3u8
老电影-24,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c89d105b9661464bb8c5c5f46977f6c4/850.m3u8
老电影-25,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/9557e1bfd91b4319975dfeffcc44d6b7/850.m3u8
老电影-26,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/180ef18dec9a4edeb9d2b520d57cfc7f/850.m3u8
老电影-27,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ac8b28fb66104aa7a5e3cd5a10ea986b/850.m3u8
老电影-28,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/1e9c4ffe4002492484c0f50235299759/850.m3u8
老电影-29,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/08d97be6d296434098297a505e2f05b5/850.m3u8
老电影-30,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/34505162ca0848af9e23d33ed4018088/850.m3u8
老电影-31,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ee157540ff2540ada0250edf3f6a3e0a/850.m3u8
老电影-32,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/919a08437d44499b87b7b4903f2b2ae6/850.m3u8
老电影-33,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b9ce94c233b043bebe30340f09868ed1/850.m3u8
老电影-34,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/b90fcf1a5425479baf3a045282a1f263/850.m3u8
老电影-35,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c91f7aae9b8b4c578a7d9ecdf94b9dca/850.m3u8
老电影-36,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/8af9ff377238407e927e597a1af47788/850.m3u8
老电影-37,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ef95b9f13e2c47b882b67ef52139786a/850.m3u8
老电影-38,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/c69eed95a2cd4752850bcac109151e37/850.m3u8
